Date,Rate
2021-06-27,110.785
2021-06-28,110.805
2021-06-29,110.61
2021-06-30,110.545
2021-07-01,111.13
2021-07-02,111.57
2021-07-03,111.015
2021-07-04,111.015
2021-07-05,111.14
2021-07-06,110.925
2021-07-07,110.6
2021-07-08,110.63
2021-07-09,109.805
2021-07-10,110.125
2021-07-11,110.125
2021-07-12,110.225
2021-07-13,110.335
2021-07-14,110.6
2021-07-15,109.99
2021-07-16,109.775
2021-07-17,110.075
2021-07-18,110.075
2021-07-19,109.885
2021-07-20,109.535
2021-07-21,109.92
2021-07-22,110.25
2021-07-23,110.135
2021-07-24,110.555
2021-07-25,110.555
2021-07-26,110.565
2021-07-27,110.315
2021-07-28,109.805
2021-07-29,109.89
2021-07-30,109.415
2021-07-31,109.685
2021-08-01,109.685
2021-08-02,109.715
2021-08-03,109.275
2021-08-04,108.995
2021-08-05,109.53
2021-08-06,109.76
2021-08-07,110.225
2021-08-08,110.225
2021-08-09,110.265
2021-08-10,110.315
2021-08-11,110.595
2021-08-12,110.375
2021-08-13,110.405
2021-08-14,109.605
2021-08-15,109.605
2021-08-16,109.635
2021-08-17,109.305
2021-08-18,109.545
2021-08-19,109.845
2021-08-20,109.77
2021-08-21,109.785
2021-08-22,109.785
2021-08-23,109.845
2021-08-24,109.67
2021-08-25,109.725
2021-08-26,109.975
2021-08-27,110.065
2021-08-28,109.845
2021-08-29,109.845
2021-08-30,109.865
2021-08-31,109.965
2021-09-01,110.065
2021-09-02,110.095
2021-09-03,109.95
2021-09-04,109.705
2021-09-05,109.705
2021-09-06,109.775
2021-09-07,109.825
2021-09-08,110.3
2021-09-09,110.225
2021-09-10,109.785
2021-09-11,109.915
2021-09-12,109.915
2021-09-13,109.925
2021-09-14,109.995
2021-09-15,109.725
2021-09-16,109.385
2021-09-17,109.7
2021-09-18,109.995
2021-09-19,109.995
2021-09-20,109.985
2021-09-21,109.43
2021-09-22,109.155
2021-09-23,109.825
2021-09-24,110.335
2021-09-25,110.74
2021-09-26,110.74
2021-09-27,110.775
2021-09-28,110.97
2021-09-29,111.535
2021-09-30,111.945
2021-10-01,111.465
2021-10-02,111.07
2021-10-03,111.07
2021-10-04,110.945
2021-10-05,110.965
2021-10-06,111.485
2021-10-07,111.405
2021-10-08,111.665
2021-10-09,112.245
2021-10-10,112.245
2021-10-11,112.265
2021-10-12,113.395
2021-10-13,113.545
2021-10-14,113.305
2021-10-15,113.855
2021-10-16,114.275
2021-10-17,114.275
2021-10-18,114.335
2021-10-19,114.295
2021-10-20,114.545
2021-10-21,114.395
2021-10-22,113.845
2021-10-23,113.475
2021-10-24,113.475
2021-10-25,113.675
2021-10-26,113.77
2021-10-27,114.185
2021-10-28,113.775
2021-10-29,113.61
2021-10-30,114.025
2021-10-31,114.025
2021-11-01,114.245
2021-11-02,114.095
2021-11-03,113.975
2021-11-04,114.08
2021-11-05,113.845
2021-11-06,113.395
2021-11-07,113.395
2021-11-08,113.47
2021-11-09,113.26
2021-11-10,112.92
2021-11-11,113.9
2021-11-12,114.045
2021-11-13,113.905
2021-11-14,113.905
2021-11-15,113.995
2021-11-16,114.135
2021-11-17,114.91
2021-11-18,114.185
2021-11-19,114.285
2021-11-20,114.03
2021-11-21,114.03
2021-11-22,114.125
2021-11-23,114.805
2021-11-24,115.175
2021-11-25,115.42
2021-11-26,115.045
2021-11-27,113.305
2021-11-28,113.305
2021-11-29,113.735
2021-11-30,113.795
2021-12-01,113.275
2021-12-02,112.88
2021-12-03,113.005
2021-12-04,112.82
2021-12-05,112.82
2021-12-06,113.045
2021-12-07,113.465
2021-12-08,113.535
2021-12-09,113.685
2021-12-10,113.445
2021-12-11,113.38
2021-12-12,113.38
2021-12-13,113.505
2021-12-14,113.58
2021-12-15,113.745
2021-12-16,114.145
2021-12-17,113.665
2021-12-18,113.715
2021-12-19,113.715
2021-12-20,113.525
2021-12-21,113.665
2021-12-22,113.995
2021-12-23,114.135
2021-12-24,114.465
2021-12-25,114.395
2021-12-26,114.395
2021-12-27,114.34
2021-12-28,114.815
2021-12-29,114.775
2021-12-30,114.955
2021-12-31,115.065
2022-01-01,115.105
2022-01-02,115.105
2022-01-03,115.145
2022-01-04,115.335
2022-01-05,116.175
2022-01-06,116.135
2022-01-07,115.875
2022-01-08,115.525
2022-01-09,115.525
2022-01-10,115.625
2022-01-11,115.285
2022-01-12,115.325
2022-01-13,114.675
2022-01-14,114.115
2022-01-15,114.195
2022-01-16,114.195
2022-01-17,114.305
2022-01-18,114.57
2022-01-19,114.565
2022-01-20,114.35
2022-01-21,113.99
2022-01-22,113.685
2022-01-23,113.685
2022-01-24,113.795
2022-01-25,114.015
2022-01-26,113.895
2022-01-27,114.725
2022-01-28,115.355
2022-01-29,115.235
2022-01-30,115.235
2022-01-31,115.275
2022-02-01,115.13
2022-02-02,114.735
2022-02-03,114.375
2022-02-04,114.965
2022-02-05,115.21
2022-02-06,115.21
2022-02-07,115.235
2022-02-08,115.065
2022-02-09,115.545
2022-02-10,115.595
2022-02-11,116.045
2022-02-12,115.475
2022-02-13,115.475
2022-02-14,115.585
2022-02-15,115.535
2022-02-16,115.64
2022-02-17,115.395
2022-02-18,114.87
2022-02-19,115.035
2022-02-20,115.035
2022-02-21,114.965
2022-02-22,114.615
2022-02-23,115.095
2022-02-24,114.895
2022-02-25,115.575
2022-02-26,115.525
2022-02-27,115.525
2022-02-28,115.575
2022-03-01,115.085
2022-03-02,114.845
2022-03-03,115.515
2022-03-04,115.485
2022-03-05,114.89
2022-03-06,114.89
2022-03-07,114.955
2022-03-08,115.375
2022-03-09,115.725
2022-03-10,115.905
2022-03-11,116.185
2022-03-12,117.29
2022-03-13,117.29
2022-03-14,117.525
2022-03-15,118.225
2022-03-16,118.295
2022-03-17,118.885
2022-03-18,118.475
2022-03-19,119.145
2022-03-20,119.145
2022-03-21,119.265
2022-03-22,119.605
2022-03-23,121.355
2022-03-24,121.135
2022-03-25,122.355
2022-03-26,122.125
2022-03-27,122.125
2022-03-28,122.265
2022-03-29,123.635
2022-03-30,123.125
2022-03-31,122.035
2022-04-01,121.755
2022-04-02,122.595
2022-04-03,122.595
2022-04-04,122.625
2022-04-05,122.805
2022-04-06,123.665
2022-04-07,123.745
2022-04-08,124.105
2022-04-09,124.285
2022-04-10,124.285
2022-04-11,124.385
2022-04-12,125.475
2022-04-13,125.415
2022-04-14,125.365
2022-04-15,126.195
2022-04-16,126.36
2022-04-17,126.36
2022-04-18,126.615
2022-04-19,127.105
2022-04-20,129.335
2022-04-21,127.995
2022-04-22,128.425
2022-04-23,128.525
2022-04-24,128.525
2022-04-25,128.605
2022-04-26,127.745
2022-04-27,127.275
2022-04-28,128.435
2022-04-29,130.795
2022-04-30,129.885
2022-05-01,129.885
2022-05-02,130.025
2022-05-03,130.095
2022-05-04,130.125
2022-05-05,129.205
2022-05-06,130.345
2022-05-07,130.545
2022-05-08,130.545
2022-05-09,130.755
2022-05-10,130.375
2022-05-11,130.365
2022-05-12,129.865
2022-05-13,128.595
2022-05-14,129.265
2022-05-15,129.265
2022-05-16,129.415
2022-05-17,128.935
2022-05-18,129.455
2022-05-19,127.925
2022-05-20,127.835
2022-05-21,127.905
2022-05-22,127.905
2022-05-23,127.895
2022-05-24,127.845
