Date,Rate
2021-04-13,210.907
2021-04-14,211.802
2021-04-15,211.977
2021-04-16,212.287
2021-04-17,212.032
2021-04-18,212.032
2021-04-19,212.168
2021-04-20,213.441
2021-04-21,213.43
2021-04-22,213.588
2021-04-23,213.659
2021-04-24,213.888
2021-04-25,213.888
2021-04-26,213.838
2021-04-27,212.972
2021-04-28,211.889
2021-04-29,212.385
2021-04-30,211.718
2021-05-01,210.885
2021-05-02,210.885
2021-05-03,210.953
2021-05-04,211.339
2021-05-05,210.911
2021-05-06,211.138
2021-05-07,211.531
2021-05-08,212.395
2021-05-09,212.395
2021-05-10,212.463
2021-05-11,211.875
2021-05-12,212.104
2021-05-13,210.246
2021-05-14,210.464
2021-05-15,210.792
2021-05-16,210.792
2021-05-17,210.676
2021-05-18,211.005
2021-05-19,211.647
2021-05-20,210.899
2021-05-21,211.75
2021-05-22,211.62
2021-05-23,211.62
2021-05-24,211.669
2021-05-25,211.814
2021-05-26,211.972
2021-05-27,211.208
2021-05-28,209.954
2021-05-29,209.824
2021-05-30,209.824
2021-05-31,209.652
2021-06-01,210.502
2021-06-02,210.471
2021-06-03,210.233
2021-06-04,208.917
2021-06-05,210.408
2021-06-06,210.408
2021-06-07,210.255
2021-06-08,210.524
2021-06-09,209.674
2021-06-10,209.46
2021-06-11,209.766
2021-06-12,209.19
2021-06-13,209.19
2021-06-14,209.132
2021-06-15,208.529
2021-06-16,208.462
2021-06-17,207.154
2021-06-18,208.158
2021-06-19,208.655
2021-06-20,208.655
2021-06-21,208.74
2021-06-22,208.53
2021-06-23,208.111
2021-06-24,207.423
2021-06-25,207.397
2021-06-26,207.835
2021-06-27,207.835
2021-06-28,207.797
2021-06-29,208.164
2021-06-30,208.264
2021-07-01,207.109
2021-07-02,206.261
2021-07-03,207.188
2021-07-04,207.188
2021-07-05,206.955
2021-07-06,207.329
2021-07-07,208.042
2021-07-08,208.058
2021-07-09,209.549
2021-07-10,208.876
2021-07-11,208.876
2021-07-12,208.687
2021-07-13,208.655
2021-07-14,208.07
2021-07-15,209.224
2021-07-16,209.62
2021-07-17,209.062
2021-07-18,209.062
2021-07-19,209.423
2021-07-20,210.179
2021-07-21,209.502
2021-07-22,208.834
2021-07-23,208.944
2021-07-24,208.105
2021-07-25,208.105
2021-07-26,208.086
2021-07-27,208.575
2021-07-28,209.521
2021-07-29,209.305
2021-07-30,209.912
2021-07-31,209.281
2021-08-01,209.281
2021-08-02,209.224
2021-08-03,210.043
2021-08-04,210.606
2021-08-05,209.509
2021-08-06,208.988
2021-08-07,208.038
2021-08-08,208.038
2021-08-09,207.963
2021-08-10,207.823
2021-08-11,206.953
2021-08-12,206.659
2021-08-13,206.603
2021-08-14,208.316
2021-08-15,208.316
2021-08-16,208.259
2021-08-17,208.911
2021-08-18,208.43
2021-08-19,207.643
2021-08-20,207.857
2021-08-21,207.906
2021-08-22,207.906
2021-08-23,207.793
2021-08-24,208.147
2021-08-25,207.984
2021-08-26,207.252
2021-08-27,207.032
2021-08-28,207.474
2021-08-29,207.474
2021-08-30,207.436
2021-08-31,207.134
2021-09-01,206.991
2021-09-02,206.776
2021-09-03,207.049
2021-09-04,207.511
2021-09-05,207.511
2021-09-06,207.379
2021-09-07,207.262
2021-09-08,206.342
2021-09-09,206.473
2021-09-10,207.369
2021-09-11,207.051
2021-09-12,207.051
2021-09-13,207.032
2021-09-14,206.923
2021-09-15,207.437
2021-09-16,208.063
2021-09-17,207.429
2021-09-18,207.023
2021-09-19,207.023
2021-09-20,207.042
2021-09-21,208.087
2021-09-22,208.511
2021-09-23,207.248
2021-09-24,206.335
2021-09-25,205.572
2021-09-26,205.572
2021-09-27,205.507
2021-09-28,205.173
2021-09-29,204.079
2021-09-30,203.274
2021-10-01,204.19
2021-10-02,204.898
2021-10-03,204.898
2021-10-04,205.129
2021-10-05,205.105
2021-10-06,204.108
